Index,Content
0,"Description of the project idea Our project idea deals with software that serves the purpose of simplifying appointment bookings by doctors for patients and at the same time relieving the medical personnel in Austria.Patients can register, verify their person and set up their profile (specify their doctors with the necessary confirmation by the doctor, indicate radius of place of residence).Doctors can also create a profile for their practice and relevant data such asB. Date the options, maximum number of new patients etc.The basic idea is that a patient can search for a kind of doctor on his radius with the desired period of the appointment (or other filter criteria such as vacation).In the search results, stored doctors should be displayed at the top of this type of doctor (if available), followed by other suitable options.This service is said to be a supplement to the current system of appointments/sick leave/transfers at doctors in order to reduce the organizational load of the health system in certain areas.Furthermore, doctors no longer have to wait for their own website and/or booking system and the telephone lines are becoming free for real emergencies.If successful, there is also the option to expand the service and offer as an app."
1,"Cyber ​​Security Training Platform ""Phishntai"" Our goal is to create a cyber security training platform that enables companies, your employees and private individuals to train, evaluate and improve your IT security skills.We rely on a license model per user so that companies can flexibly choose how many employees they want to use the system.For example, AI generated phishing emails or phishing calls can be simulated and the ability of users to recognize such attacks can be evaluated.Afterwards, those responsible in the company can analyze the susceptibility of their employees for such attacks.In addition, we offer training videos and exercises to train endangered users in a targeted manner."
2,"This project is a portal in which patients can post symptoms/injuries etc. in the form of texts, videos, images and audios anonymously and have certified medical staff.It is intended as a kind of 1450 health telephone only as an app / website.In order to be able to answer as a doctor, a certificate (e.g. doctoral title or inscription at a medical study with sufficient ECTs etc.) is required.Patients can search for symptoms and the first clinical pictures with the respective suggestions for action (e.g. consultation) are displayed.After the first remote diagnosis of the medical personnel, the patient is proposed with contact details in his area if necessary.(e.g. medical personnel recommends to visit hospital; the next hospitals are proposed with opening times)"
3,"A smartphone app is to be developed, which makes it possible to find activities to match the current weather and location.By specifying interests and other data such as the available time and the distance to activity, etc., suitable activities are proposed to the user.These suggestions can be shared with friends or new “Like Minded” friends can be found by a pool of people, whom the company also likes.Ideas for activities can be created by users themselves to keep the variety of activities high.With this option, people can earn points in an app currency in the app, which enables vouchers, discounts and the like, or can unlock the app's pro-features for a limited time."
4,"It is about a garden tool, the meaning of which it is to facilitate the garden planning in consideration of plant synergies, solar radiation and soil quality and to exchange ideas with others.Users: Inside can create your own profile with your preferences, garden details and experiences.A forum enables the exchange in different areas: a advice forum, a exchange exchange and a chat for communication with like -minded people.In the advice forum, the user: In the inside, in a filtered view, entries for the plants you have.In the exchange exchange, users can: specify their exchange preferences inside and then see accordingly filtered entries from other users: inside on a certain radius.The meaning lies in the merging of garden maintenance and care in an app as well as in the exchange of experiences and a sustainability idea."
5,"Our project idea is a so-called ""discount finder"".Basically, it is a smartphone app, which in the main view currently shows discounted products or discount campaigns from various supermarkets.The core function should be to assemble the most favorable shopping list for household shopping.In addition, the additional gasoline costs should be displayed for cross -supermarket purchases to signal whether a trip to a more distant supermarket is worthwhile for a discount campaign."
6,
7,"Community-based sustainable lending and rental platform We develop a lending and rental platform that enables users to borrow objects for temporary needs from others near them.This solution is aimed particularly at students, freshly moved people and people in transition phases to enable them to use necessary objects without having to buy them again.By promoting the sharing, we contribute to reducing new goods consumption and thus supporting sustainability.Users can pay via a loan system that also includes a deposit for possible damage.We keep a small share in every transaction, which means that we generate our profit.A valuation system ensures trust and security within the community.Our goal is to offer a cost -effective and ecologically sustainable alternative to buying new purchase that covers the temporary need for objects without long -term investments."
8,"Our goal is to develop an innovative platform that solves the problem when friends come together to watch a film but have difficulty agreeing to a film.Inspired by the known concept of Tinder, our platform enables users to match films to matches that meet their preferences.However, the platform should be more than just a tool for decision -making for film evenings.We want to create a living community of film fans who can exchange ideas about their common interests.Users can evaluate films, write reviews and share lists with friends to exchange recommendations.The integration of film databases such as IMDB or TMDB provides comprehensive information on films, including reviews and descriptions of action.An important aspect of our project is the opportunity to become an official partner of a streaming platform.This would not only be a source of financing for our platform, but also offer a way to limit the selection of available films and offer users a seamless way to watch selected films directly on the streaming platform.With this combination of matching functions, community interaction and seamless integration with streaming platforms, we strive to create a dynamic and entertaining platform that improves the film experience for millions of people worldwide."
9,"""Careermatch"" is an innovative app that combines employers and job seekers in a playful and efficient way.Inspired by Tinder, Careermatch offers a user -friendly interface for the search for jobs or internships.Job seekers can create their profiles, indicate their professional skills and interests and display their availability for potential jobs or internships.You can swipe through job offers and, if you are interested, submit your application directly.Companies can publish their job offers, specify their requirements and search for suitable candidates with the help of an innovative filter.You can also view applications and contact the applicants directly."
